Date: 4/18/2016

From File
Energy
E:\Users\Sean_F\LaN_standard_Region.txt
: 59.00000000
: 65.00000000
: 0.20000000
Delay After Move (s): 0.00000000
Count Time (s): 1.00000000
Scan Number: Average of 2 scans
Bi-directional: No
Stay at End: 1
Description Length: 0

Time of Day	Time (s)	Energy	Channeltron	Counter 0	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Izero	TEY_up	TEY_dn	Analog 2	Analog 3	Energy	Beam Current	Main Chamber Pressure	Flow Cell Pressure	Temp A	Temp B	Temp C	Temp D	Gate
17:40:11	0.00000000	393.49920293	3806.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	77572.61097920	48606.84698365	51536.79064627	48687.63963831	393.49981330	290.79604805	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	394.00030863	3898.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	78002.08611951	49725.67893761	52463.38401837	49744.83674700	394.00045142	290.71562151	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	394.49979675	3988.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	78427.53594470	49311.43993887	52269.60899329	49579.97737858	394.49954500	290.64641200	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	395.00004491	4054.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	78842.37874014	49722.75654241	52664.51179305	49777.46934417	395.00000840	290.57584011	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	395.50032654	3915.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79214.58241254	50273.94722684	53267.59489021	50446.04499187	395.50047162	290.49981864	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	395.99998062	4106.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79544.92605515	50038.23870059	52971.40144879	50329.42446175	395.99998007	290.43169904	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	396.50097188	4086.50000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79796.19985101	50226.84174881	53220.00525358	50652.07461619	396.50038630	290.34259862	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	396.99890724	4231.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79940.55933293	50242.09270816	53192.66395943	50427.82558317	397.00004395	290.27229919	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	397.04971547	4017.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79935.15437367	50240.65077979	53082.44677085	50364.50806549	397.04975167	290.20545117	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17:40:11	0.00000000	397.09994995	4030.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	79949.52702052	49770.20830384	53260.59103529	50646.69395770	397.09994971	290.14041966	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
